"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1803","Admin login with right creds","Daily Finance Automation","Tue Oct 22 17:40:37 BDT 2024","passed","Tue Oct 22 17:40:39 BDT 2024","testRunner.LoginTestRunner","User Registration","testRunner.LoginTestRunner","adminLoginWithRightCreds"
"","6466","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 17:41:50 BDT 2024","passed","Tue Oct 22 17:41:56 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","6620","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 17:41:36 BDT 2024","passed","Tue Oct 22 17:41:42 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","7861","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 17:41:21 BDT 2024","passed","Tue Oct 22 17:41:29 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","7502","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 17:41:42 BDT 2024","passed","Tue Oct 22 17:41:50 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","845","search an item and assert the item's price","Daily Finance Automation","Tue Oct 22 17:42:07 BDT 2024","passed","Tue Oct 22 17:42:08 BDT 2024","testRunner.SearchItemTestRunner","Search an item","testRunner.SearchItemTestRunner","searchItem"
"","5790","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 15:35:41 BDT 2024","passed","Tue Oct 22 15:35:47 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","4334","Admin login with wrong creds","Daily Finance Automation","Tue Oct 22 17:40:32 BDT 2024","passed","Tue Oct 22 17:40:37 BDT 2024","testRunner.LoginTestRunner","User Registration","testRunner.LoginTestRunner","adminLoginWithWrongCreds"
"","30370","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 15:36:19 BDT 2024","broken","Tue Oct 22 15:36:50 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","8127","user can register by mandatory info","Daily Finance Automation","Tue Oct 22 17:40:10 BDT 2024","passed","Tue Oct 22 17:40:18 BDT 2024","testRunner.RegistrationTestRunner","User Login","testRunner.RegistrationTestRunner","UserRegistrationByOnlyMandatoryFields"
"","10351","Update User Photo","Daily Finance Automation","Tue Oct 22 17:41:00 BDT 2024","passed","Tue Oct 22 17:41:10 BDT 2024","testRunner.UploadProfileImageTestRunner","Update user profile image","testRunner.UploadProfileImageTestRunner","updateProfilePic"
"","5832","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 15:35:30 BDT 2024","passed","Tue Oct 22 15:35:36 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","5363","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 15:35:36 BDT 2024","passed","Tue Oct 22 15:35:41 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","8","doLogin","Daily Finance Automation","Tue Oct 22 17:26:15 BDT 2024","broken","Tue Oct 22 17:26:15 BDT 2024","testRunner.AdminDashboardTestRunner","Check last user and dashboard user","testRunner.AdminDashboardTestRunner","doLogin"
"","4047","user can register Without mandatory info","Daily Finance Automation","Tue Oct 22 17:40:18 BDT 2024","passed","Tue Oct 22 17:40:22 BDT 2024","testRunner.RegistrationTestRunner","User Login","testRunner.RegistrationTestRunner","UserRegistrationWithoutMandatoryFields"
"","32552","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 15:35:47 BDT 2024","broken","Tue Oct 22 15:36:19 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","1315","check the last registered user is displayed on the admin dashboard","Daily Finance Automation","Tue Oct 22 17:40:47 BDT 2024","passed","Tue Oct 22 17:40:48 BDT 2024","testRunner.AdminDashboardTestRunner","Check last user and dashboard user","testRunner.AdminDashboardTestRunner","checkUser"
"","196","calculate total cost from CSV dataset and check whether it matches with total cost from UI","Daily Finance Automation","Tue Oct 22 17:41:56 BDT 2024","passed","Tue Oct 22 17:41:57 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","totalcost"
"","2106","Last registered user login","Daily Finance Automation","Tue Oct 22 17:40:58 BDT 2024","passed","Tue Oct 22 17:41:00 BDT 2024","testRunner.UploadProfileImageTestRunner","Update user profile image","testRunner.UploadProfileImageTestRunner","userLogin"
"","6622","Add 5 items from CSV dateset","Daily Finance Automation","Tue Oct 22 17:41:29 BDT 2024","passed","Tue Oct 22 17:41:36 BDT 2024","testRunner.AddCostTestRunner","Add a cost from csv file and check total cost","testRunner.AddCostTestRunner","addCost"
"","4","doLogin","Daily Finance Automation","Tue Oct 22 17:20:31 BDT 2024","broken","Tue Oct 22 17:20:31 BDT 2024","testRunner.SearchItemTestRunner","Search an item","testRunner.SearchItemTestRunner","doLogin"
"","13084","user can register by all providing data","Daily Finance Automation","Tue Oct 22 17:39:57 BDT 2024","passed","Tue Oct 22 17:40:10 BDT 2024","testRunner.RegistrationTestRunner","User Login","testRunner.RegistrationTestRunner","userRegistrationByAllFields"
